name,time,preference,cost,estimated_time
5 Minute Gluten Free Wonder Buns,45,4,1.37,12
Almond and cranberry shortbread,45,5,4.98,782
Apple Roasted Pork Loin,45,3,3.89,100.0
Baked Oatmeal with Dried Cranberries,45,5,6.36,70
Beef Braised In Red Wine,45,5,7.11,202
Beef Cottage Pie,45,2,14.66,78
"Beer Can Chicken, Country Style Vegetables with Roasted Garlic",45,3,17.45,90
Bittersweet chocolate pudding,45,3,6.03,25
Blackberry Pie With Lemon Verbena Whip Cream,45,3,17.12,137
Broccolini Quinoa Pilaf,30,5,4.61,25
Chocolate Banana Zucchini Cake,45,4,11.37,70
Chocolate Hazelnut Mousse,45,3,12.46,18
Classic Carrot Cake With Cream Cheese Frosting,45,5,19.21,36
Classic Macaroni and Cheese,45,2,13.53,79
Creamy Mushrooms Over Soba Noodles (Vegan),45,4,15.9,39
Crispy Panko and Herb Crusted Salmon,45,2,21.31,61
Curried Cauliflower Gratin,45,4,9.49,64
Easy Eclairs,45,5,17.83,241
Fenugreek Roti,45,1,12.41,176
Fresh Herb Omelette,45,4,1.47,11
Grilled Guacamole with Pistachios,45,2,14.29,26
"Guf"" Danish Ice Cream Topping",45,5,1.95,43
Hard-Boiled Egg Gratin In A Bechamel Sauce,45,4,5.2,52
Healthy Mint Brownies,45,1,22.03,143.0
Healthy Vegan Red Velvet Brownies,45,1,6.65,130
Jalapeno Cheese Quick Bread,45,3,2.68,90
Jalapeno Cornbread Stuffing,45,3,4.38,51
Julia Child's Boeuf Bourguignon,180,2,24.7,175
Knishes - Potato Filling,45,4,1.99,15
Korean Beef Rice Bowl,45,4,18.68,38
Mango Banana Coconut Smoothie,45,3,2.8,15
Moosewood Lentil Soup,45,4,8.18,75
Penne Pasta with Broccoli and Cheese,45,4,5.17,20
Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce,45,1,10.12,34
Slow Cooker Chicken and Dumplings,11,3,10.12,360
Stir Fried Cabbage and Tomatoes,45,5,1.33,25
Strawberry and Nutella Cobbler,45,3,9.94,80
Swiss Chard Wraps,45,5,4.0,26
Tropical Ice Pops,45,1,4.89,194
Tzadziki,45,2,6.74,125
"Vanilla Cream Cakes, Easy and Fluffy Holiday Cakes",45,4,21.96,570
Vegan Peanut Butter Chocolate Fudge,45,1,6.47,77
"Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (Bánh Xèo)",45,4,18.47,75
Wasabi Ice Cream (Wasabi Aisu),45,2,7.92,253
White Chocolate Cheesecake With Raspberries,45,2,28.12,315
khichdi recipe,30,1,3.68,70
